Plot,Ring,Achillea millefolium,Agropyron repens,Amorpha canescens,Andropogon gerardi,Anemone cylindrica,Asclepias tuberosa,Bouteloua gracilis,Bromus inermis,Koeleria cristata,Lespedeza capitata,Lupinus perennis,Petalostemum villosum,Poa pratensis,Schizachyrium scoparium,Solidago rigida,Sorghastrum nutans
85,2,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
86,2,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
87,2,0,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0
88,2,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0
89,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
90,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
91,2,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
92,2,1,0,1,1,1,1,0,1,0,0,0,1,0,0,1,1
93,2,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0
94,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
95,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
96,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
97,2,1,1,1,0,0,1,0,1,1,1,0,1,0,0,0,1
98,2,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0
99,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
100,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
101,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
102,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
103,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
104,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
105,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1
106,2,0,1,0,1,0,1,1,0,1,0,1,0,1,1,0,1
107,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
108,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
109,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
110,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
111,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
114,2,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0
115,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
116,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
117,2,1,1,0,1,1,0,1,1,0,0,0,0,1,0,1,1
118,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
119,2,0,1,0,1,0,0,0,1,1,1,0,1,0,1,1,1
120,2,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
121,2,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
122,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
123,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
124,3,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1
125,3,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
126,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
127,3,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0
128,3,0,0,1,1,1,1,0,1,1,1,0,0,0,1,1,0
129,3,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0
130,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
131,3,1,0,1,0,0,0,0,1,1,1,1,1,0,1,0,1
132,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
133,3,1,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1
134,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
135,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
136,3,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
137,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
138,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
139,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
140,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
141,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
142,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
143,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
144,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
147,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
148,3,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0
149,3,0,1,1,1,0,0,0,0,1,1,1,0,0,1,1,1
150,3,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0
151,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
152,3,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1
153,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
154,3,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
155,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
156,3,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0
157,3,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0
158,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
159,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
161,3,0,1,1,1,1,0,0,0,1,1,0,1,1,0,0,1
162,3,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0
163,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
164,3,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0
165,3,0,1,1,1,0,0,1,0,0,1,1,1,1,0,0,1
166,3,0,1,1,0,0,1,1,0,1,1,0,1,1,0,0,1
167,3,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0
168,3,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0
169,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
170,3,1,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0
171,3,1,1,0,1,1,0,1,1,1,1,0,0,0,0,0,1
172,3,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
173,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
174,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
175,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
176,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
177,3,1,0,0,1,1,1,0,0,1,1,0,1,1,0,1,0
178,3,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
179,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
180,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
181,3,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0
182,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
184,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
185,4,0,1,0,1,1,1,0,1,0,1,0,0,0,1,1,1
186,4,0,0,1,1,0,1,0,1,1,0,1,1,1,0,1,0
187,4,1,1,1,1,1,0,1,0,1,0,0,0,1,1,0,0
188,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
189,4,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1
190,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
191,4,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
192,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
193,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
194,4,1,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1
195,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
196,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
197,4,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
198,4,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0
199,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
200,4,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
201,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
202,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
203,4,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
