"","site_code","year","site_name","plot","year_trt","trt","totplotcover.yr.live","sr_NA","sr_INT","sr_NAT","sr_UNK","sr_INT.site","sr_non.nat_rare","sr_nat_rare","sr_non.rare_non.nat","sr_non.rare_nat","sr_nat_dom","sr_non.nat_dom","sr_nat_unk_rare","sr_non.nat_unk_rare","sr_non.rare_nat_unk","sr_non.rare_non.nat_unk","sr_non_rare_spp.Freq","sr_non.rare_nat.Freq","sr_non.rare_non.nat.Freq","sr_rare_non.nat.Freq","sr_rare_nat.Freq","sr_rare_unk_nat.Freq","sr_non.rare_nat_unk.Freq","sr_non.rare_non.nat_unk.Freq","sr_rare_non.nat_unk.Freq","sr_non.rare_nat2","sr_non.rare_non.nat2","sr_nat_rare2","sr_non.nat_rare2","sr_non.rare_nat3","sr_non.rare_non.nat3","sr_nat_rare3","sr_non.nat_rare3"
"24","bnch.us",2008,"Bunchgrass (Andrews LTER)",25,1,"Control",174.5,2,1,8,1,2,0,2,1,4,1,0,3,1,5,2,7,5,1,0,1,2,6,2,1,4,1,2,0,5,1,1,0
"25","bnch.us",2009,"Bunchgrass (Andrews LTER)",25,2,"Control",113.5,2,1,8,1,2,0,2,1,4,1,0,3,1,5,2,7,5,1,0,1,2,6,2,1,4,1,2,0,5,1,1,0
"26","bnch.us",2012,"Bunchgrass (Andrews LTER)",25,5,"Control",108,2,0,4,1,2,0,0,0,2,0,0,1,1,3,1,3,2,0,0,0,1,3,1,1,2,0,0,0,2,0,0,0
"27","bnch.us",2012,"Bunchgrass (Andrews LTER)",7,5,"Control",93,3,0,9,1,2,0,1,0,5,1,0,2,1,6,1,7,6,0,0,0,1,7,1,1,5,0,1,0,6,0,0,0
"28","bnch.us",2010,"Bunchgrass (Andrews LTER)",25,3,"Control",160,2,2,4,1,3,0,1,1,2,1,0,2,1,3,2,4,2,1,0,1,2,3,2,1,2,1,1,0,2,1,1,0
"29","bnch.us",2011,"Bunchgrass (Andrews LTER)",25,4,"Control",168,3,1,6,1,2,0,0,1,3,1,0,1,1,4,2,5,3,1,0,0,1,4,2,1,3,1,0,0,3,1,0,0
"30","bnch.us",2013,"Bunchgrass (Andrews LTER)",25,6,"Control",156,2,0,6,1,1,0,1,0,3,1,0,2,1,4,1,5,4,0,0,0,1,5,1,1,3,0,1,0,4,0,0,0
"31","bnch.us",2014,"Bunchgrass (Andrews LTER)",25,7,"Control",160,2,0,5,1,3,0,1,0,2,1,0,2,1,3,1,4,3,0,0,0,1,4,1,1,2,0,1,0,3,0,0,0
"32","bnch.us",2015,"Bunchgrass (Andrews LTER)",25,8,"Control",154,2,0,4,1,3,0,0,0,2,1,0,1,1,3,1,3,2,0,0,0,1,3,1,1,2,0,0,0,2,0,0,0
"33","bnch.us",2016,"Bunchgrass (Andrews LTER)",25,9,"Control",148,3,0,5,0,3,0,0,0,2,1,0,0,0,2,0,2,2,0,0,0,0,2,0,0,2,0,0,0,2,0,0,0
"34","bnch.us",2017,"Bunchgrass (Andrews LTER)",25,10,"Control",135,3,0,5,0,2,0,0,0,2,1,0,0,0,2,0,2,2,0,0,0,0,2,0,0,2,0,0,0,2,0,0,0
"35","bnch.us",2007,"Bunchgrass (Andrews LTER)",20,0,"Control",152,0,1,7,1,2,0,2,1,5,1,0,3,1,6,2,9,7,1,0,0,1,8,2,1,4,1,3,0,7,1,0,0
"36","bnch.us",2008,"Bunchgrass (Andrews LTER)",20,1,"Control",141,2,1,8,1,2,0,1,1,5,1,0,2,1,6,2,8,6,1,0,0,1,7,2,1,4,1,2,0,6,1,0,0
"37","bnch.us",2010,"Bunchgrass (Andrews LTER)",20,3,"Control",156.5,5,0,8,1,3,0,0,0,3,0,0,1,1,4,1,4,3,0,0,0,1,4,1,1,3,0,0,0,3,0,0,0
"38","bnch.us",2011,"Bunchgrass (Andrews LTER)",20,4,"Control",214,4,0,8,1,2,0,0,0,4,1,0,1,1,5,1,5,4,0,0,0,1,5,1,1,3,0,1,0,4,0,0,0
"39","bnch.us",2012,"Bunchgrass (Andrews LTER)",20,5,"Control",142,3,0,6,1,2,0,0,0,3,0,0,1,1,4,1,4,3,0,0,0,1,4,1,1,3,0,0,0,3,0,0,0
"40","bnch.us",2013,"Bunchgrass (Andrews LTER)",20,6,"Control",127,1,0,5,1,1,0,0,0,4,1,0,1,1,5,1,5,4,0,0,0,1,5,1,1,4,0,0,0,4,0,0,0
"41","bnch.us",2014,"Bunchgrass (Andrews LTER)",20,7,"Control",164,1,0,6,1,3,0,0,0,5,1,0,1,1,6,1,6,5,0,0,0,1,6,1,1,4,0,1,0,5,0,0,0
"42","bnch.us",2015,"Bunchgrass (Andrews LTER)",20,8,"Control",126,2,0,7,1,3,0,0,0,5,1,0,1,1,6,1,6,5,0,0,0,1,6,1,1,4,0,1,0,5,0,0,0
"43","bnch.us",2017,"Bunchgrass (Andrews LTER)",20,10,"Control",147.5,2,0,7,0,2,0,1,0,4,1,0,1,0,4,0,5,5,0,0,0,0,5,0,0,4,0,1,0,5,0,0,0
"44","bnch.us",2016,"Bunchgrass (Andrews LTER)",20,9,"Control",193,2,0,7,0,3,0,0,0,5,1,0,0,0,5,0,5,5,0,0,0,0,5,0,0,4,0,1,0,5,0,0,0
"45","bogong.au",2009,"Bogong",3,0,"Control",60.06,0,2,14,0,2,0,7,2,7,2,0,7,0,7,2,14,12,2,0,2,2,12,2,0,7,1,7,1,11,2,3,0
"46","bogong.au",2010,"Bogong",3,1,"Control",60.1,2,2,14,0,3,0,5,2,7,2,0,5,0,7,2,13,11,2,0,1,1,11,2,0,7,1,5,1,11,2,1,0
"47","bogong.au",2011,"Bogong",3,2,"Control",87.07,1,2,15,0,3,0,7,2,7,2,0,7,0,7,2,14,12,2,0,2,2,12,2,0,7,1,7,1,11,2,3,0
"48","bogong.au",2014,"Bogong",3,5,"Control",85.06,3,2,15,0,2,0,6,2,6,2,0,6,0,6,2,13,11,2,0,1,1,11,2,0,6,1,6,1,10,2,2,0
"49","bogong.au",2015,"Bogong",3,6,"Control",84.05,4,2,16,0,2,0,6,2,6,2,0,6,0,6,2,13,11,2,0,1,1,11,2,0,6,1,6,1,10,2,2,0
"50","bogong.au",2017,"Bogong",3,8,"Control",92.03,3,2,15,0,2,0,6,2,6,2,0,6,0,6,2,13,11,2,0,1,1,11,2,0,6,1,6,1,10,2,2,0
"51","bogong.au",2009,"Bogong",11,0,"Control",55.07,0,2,16,1,2,0,9,2,7,2,0,10,1,8,3,13,11,2,0,5,6,12,3,1,7,1,9,1,10,2,6,0
"52","bogong.au",2010,"Bogong",11,1,"Control",82.09,0,2,16,1,3,0,9,2,7,2,0,10,1,8,3,13,11,2,0,5,6,12,3,1,7,1,9,1,10,2,6,0
"53","bogong.au",2011,"Bogong",11,2,"Control",86.08,1,2,16,1,3,0,9,2,6,2,0,10,1,7,3,12,10,2,0,5,6,11,3,1,6,1,9,1,9,2,6,0
"54","bogong.au",2012,"Bogong",11,3,"Control",93.09,2,2,18,1,3,0,9,2,7,2,0,10,1,8,3,13,11,2,0,5,6,12,3,1,7,1,9,1,10,2,6,0
"55","bogong.au",2013,"Bogong",11,4,"Control",96.03,0,2,16,1,3,0,9,2,7,2,0,10,1,8,3,13,11,2,0,5,6,12,3,1,7,1,9,1,10,2,6,0
"56","bogong.au",2014,"Bogong",11,5,"Control",96.12,4,2,19,1,2,0,9,2,6,2,0,10,1,7,3,12,10,2,0,5,6,11,3,1,6,1,9,1,9,2,6,0
"57","bogong.au",2015,"Bogong",11,6,"Control",97.07,4,2,18,2,2,0,9,2,6,2,0,10,1,7,3,12,10,2,0,5,6,11,3,1,6,1,9,1,9,2,6,0
"58","bogong.au",2016,"Bogong",11,7,"Control",88.08,3,2,18,1,3,0,9,2,6,2,0,10,1,7,3,12,10,2,0,5,6,11,3,1,6,1,9,1,9,2,6,0
"59","bogong.au",2017,"Bogong",11,8,"Control",92.09,3,2,18,1,2,0,9,2,6,2,0,10,1,7,3,12,10,2,0,5,6,11,3,1,6,1,9,1,9,2,6,0
"60","bogong.au",2009,"Bogong",21,0,"Control",82.08,0,0,17,0,2,0,8,0,9,2,0,8,0,9,0,12,12,0,0,5,5,12,0,0,8,0,9,0,13,0,4,0
"61","bogong.au",2010,"Bogong",21,1,"Control",56.11,2,2,16,0,3,0,7,0,9,2,0,7,0,9,0,12,12,0,0,4,4,12,0,0,8,0,8,0,13,0,3,0
"62","bogong.au",2011,"Bogong",21,2,"Control",94.14,4,2,19,0,3,0,8,0,9,2,0,8,0,9,0,12,12,0,0,5,5,12,0,0,8,0,9,0,13,0,4,0
"63","bogong.au",2012,"Bogong",21,3,"Control",97.13,3,2,18,0,3,0,8,0,9,2,0,8,0,9,0,12,12,0,0,5,5,12,0,0,8,0,9,0,13,0,4,0
"64","bogong.au",2013,"Bogong",21,4,"Control",108.11,4,2,16,1,3,0,7,0,8,2,0,7,0,8,0,12,12,0,0,3,3,12,0,0,7,0,8,0,12,0,3,0
"65","bogong.au",2014,"Bogong",21,5,"Control",103.13,5,1,17,1,2,0,7,0,7,2,0,7,0,7,0,10,10,0,0,4,4,10,0,0,6,0,8,0,10,0,4,0
"66","bogong.au",2015,"Bogong",21,6,"Control",81.13,6,2,17,1,2,0,7,0,7,2,0,7,0,7,0,11,11,0,0,3,3,11,0,0,6,0,8,0,10,0,4,0
"67","bogong.au",2016,"Bogong",21,7,"Control",97.09,4,1,19,0,3,0,8,0,8,2,0,8,0,8,0,11,11,0,0,5,5,11,0,0,7,0,9,0,12,0,4,0
"68","bogong.au",2017,"Bogong",21,8,"Control",114.1,6,1,19,1,2,0,8,0,7,2,0,8,0,7,0,11,11,0,0,4,4,11,0,0,6,0,9,0,11,0,4,0
"69","bogong.au",2012,"Bogong",3,3,"Control",84.07,2,2,15,0,3,0,6,2,7,2,0,6,0,7,2,13,11,2,0,2,2,11,2,0,7,1,6,1,10,2,3,0
"70","bogong.au",2013,"Bogong",3,4,"Control",80.07,3,2,14,1,3,0,5,2,7,2,0,5,0,7,2,13,11,2,0,1,1,11,2,0,7,1,5,1,10,2,2,0
"71","bogong.au",2016,"Bogong",3,7,"Control",84.06,6,3,16,0,3,0,5,2,6,2,0,5,0,6,2,12,10,2,0,1,1,10,2,0,6,1,5,1,9,2,2,0
"72","burrawan.au",2008,"Burrawan",1,0,"Control",58,0,2,7,1,5,0,1,2,6,0,2,2,1,7,3,9,6,2,0,1,2,7,3,1,5,2,2,0,6,2,1,0
"73","burrawan.au",2009,"Burrawan",1,1,"Control",124,4,1,8,1,4,0,0,1,4,0,1,1,1,5,2,6,4,1,0,0,1,5,2,1,4,1,0,0,4,1,0,0
"74","burrawan.au",2010,"Burrawan",1,2,"Control",54,3,1,6,0,3,0,1,1,2,0,1,1,0,2,1,3,2,1,0,1,1,2,1,0,2,1,1,0,2,1,1,0
"75","burrawan.au",2008,"Burrawan",20,0,"Control",119,0,3,9,1,5,1,4,2,5,0,2,5,2,6,3,10,7,2,1,2,3,8,3,2,4,2,5,1,6,2,3,1
"76","burrawan.au",2009,"Burrawan",20,1,"Control",81,2,2,9,1,4,0,4,2,3,0,2,5,1,4,3,8,5,2,0,2,3,6,3,1,3,2,4,0,4,2,3,0
"77","burrawan.au",2011,"Burrawan",20,3,"Control",134,3,2,7,1,3,0,1,2,3,0,2,2,1,4,3,7,4,2,0,0,1,5,3,1,3,2,1,0,4,2,0,0
"78","burrawan.au",2012,"Burrawan",20,4,"Control",96,2,2,8,0,3,0,3,2,3,0,2,3,0,3,2,7,5,2,0,1,1,5,2,0,2,2,4,0,4,2,2,0
"79","burrawan.au",2010,"Burrawan",20,2,"Control",99,3,2,8,1,3,0,1,2,4,0,2,2,1,5,3,7,4,2,0,1,2,5,3,1,3,2,2,0,4,2,1,0
"80","burrawan.au",2013,"Burrawan",20,5,"Control",128.5,2,1,6,0,4,0,1,1,3,0,1,1,0,3,1,5,4,1,0,0,0,4,1,0,2,1,2,0,3,1,1,0
"81","burrawan.au",2008,"Burrawan",24,0,"Control",90,0,3,7,1,5,1,2,2,5,0,2,3,2,6,3,9,6,2,1,1,2,7,3,2,4,2,3,1,5,2,2,1
"82","burrawan.au",2009,"Burrawan",24,1,"Control",71,3,2,9,1,4,0,2,2,4,0,2,3,1,5,3,8,5,2,0,1,2,6,3,1,4,2,2,0,4,2,2,0
"83","burrawan.au",2010,"Burrawan",24,2,"Control",91,3,2,8,1,3,0,1,2,4,0,2,2,1,5,3,7,4,2,0,1,2,5,3,1,4,2,1,0,4,2,1,0
"84","burrawan.au",2011,"Burrawan",24,3,"Control",133,4,2,9,1,3,0,1,2,4,0,2,2,1,5,3,8,5,2,0,0,1,6,3,1,4,2,1,0,4,2,1,0
"85","burrawan.au",2014,"Burrawan",20,6,"Control",131,2,1,4,0,4,0,0,1,2,0,1,0,0,2,1,3,2,1,0,0,0,2,1,0,2,1,0,0,2,1,0,0
"86","burrawan.au",2012,"Burrawan",24,4,"Control",82,5,2,9,0,3,0,1,2,3,0,2,1,0,3,2,6,4,2,0,0,0,4,2,0,3,2,1,0,3,2,1,0
"87","burrawan.au",2014,"Burrawan",24,6,"Control",116,4,2,7,0,4,1,0,1,3,0,1,0,1,3,1,4,3,1,1,0,0,3,1,1,3,1,0,1,3,1,0,1
