"","Dominant","Rare","Subordinate"
"abisko.se",2,14,5
"amcamp.us",2,19,6
"anti.ec",4,46,16
"arch.us",3,35,12
"azi.cn",4,45,16
"badlau.de",3,31,12
"bari.ar",2,24,8
"barta.us",3,29,10
"bayr.de",3,37,13
"bldr.us",1,12,5
"bnch.us",2,20,7
"bogong.au",2,23,8
"bttr.us",4,42,15
"bunya.au",1,12,4
"burrawan.au",2,21,7
"burren.ie",4,43,15
"cbgb.us",3,34,12
"cdcr.us",3,40,14
"cdpt.us",3,35,14
"cereep.fr",3,28,10
"chilcas.ar",3,39,14
"comp.pt",3,31,10
"cowi.ca",1,12,4
"derr.au",1,11,4
"doane.us",2,20,7
"elkh.us",2,15,5
"elliot.us",2,18,6
"elva.ee",3,35,13
"ethamc.au",1,2,0
"ethass.au",1,4,1
"fnly.us",4,45,16
"frue.ch",2,19,6
"gall.it",3,37,13
"gilb.za",4,45,16
"glac.us",1,12,4
"glcr.us",1,13,5
"hall.us",2,14,5
"hart.us",2,20,7
"hast.us",2,22,8
"hero.uk",2,25,9
"hnvr.us",2,25,9
"hopl.us",3,29,10
"jasp.us",2,24,8
"jena.de",3,31,10
"jorn.us",2,24,9
"kark.se",2,26,9
"kbs.us",3,33,12
"kibber.in",1,12,4
"kidman.au",1,14,5
"kilp.fi",3,36,13
"kiny.au",3,28,10
"kirik.ee",5,57,21
"koffler.ca",2,15,5
"konz.us",3,37,13
"konzn1b.us",4,46,18
"lake.us",3,37,15
"lakta.se",2,21,7
"lancaster.uk",1,11,4
"lead.us",1,9,3
"look.us",2,19,7
"marc.ar",2,17,5
"mcla.us",1,10,3
"mitch.au",1,10,6
"msla.us",3,31,11
"mtca.au",3,33,11
"nilla.au",2,15,5
"niwo.us",3,31,10
"pape.de",1,5,1
"pich.ec",4,45,16
"ping.au",2,14,5
"pinj.au",2,19,6
"podo.ec",4,45,17
"potrok.ar",2,23,8
"rook.uk",2,14,5
"sage.us",2,25,9
"sava.us",3,35,13
"sedg.us",1,13,5
"sereng.tz",3,32,11
"sevi.us",2,21,7
"sgs.us",2,14,5
"shps.us",3,35,13
"sier.us",2,24,9
"smith.us",3,30,10
"spin.us",1,10,4
"spv.ar",1,13,5
"summ.za",5,66,23
"sval.no",1,10,4
"temple.us",3,37,13
"trel.us",1,8,3
"tyso.us",2,22,8
"ucsc.us",1,12,4
"ufrec.us",1,0,0
"ukul.za",5,65,23
"unc.us",2,26,9
"uwo.ca",2,23,8
"valm.ch",5,58,21
"vass.se",3,28,10
"yarra.au",1,14,5
